,Air Quality Index,Components,Time
0,{'aqi': 5},"{'co': 1028.06, 'no': 105.5, 'no2': 135.72, 'o3': 0, 'so2': 602.72, 'pm2_5': 57.28, 'pm10': 58.68, 'nh3': 0}",1672509600
1,{'aqi': 5},"{'co': 1148.22, 'no': 114.44, 'no2': 149.43, 'o3': 0, 'so2': 640.87, 'pm2_5': 62.87, 'pm10': 64.41, 'nh3': 0}",1672513200
2,{'aqi': 5},"{'co': 1134.87, 'no': 102.82, 'no2': 150.8, 'o3': 0, 'so2': 602.72, 'pm2_5': 56.66, 'pm10': 58.26, 'nh3': 0}",1672516800
3,{'aqi': 5},"{'co': 1054.76, 'no': 84.94, 'no2': 143.95, 'o3': 0, 'so2': 518.8, 'pm2_5': 46.17, 'pm10': 47.7, 'nh3': 0}",1672520400
4,{'aqi': 5},"{'co': 974.66, 'no': 73.31, 'no2': 137.09, 'o3': 0, 'so2': 453.95, 'pm2_5': 37.1, 'pm10': 38.55, 'nh3': 0}",1672524000
5,{'aqi': 5},"{'co': 961.3, 'no': 74.21, 'no2': 131.61, 'o3': 0, 'so2': 438.69, 'pm2_5': 32.36, 'pm10': 33.79, 'nh3': 0}",1672527600
6,{'aqi': 5},"{'co': 934.6, 'no': 73.31, 'no2': 127.49, 'o3': 0, 'so2': 438.69, 'pm2_5': 30.15, 'pm10': 31.44, 'nh3': 0}",1672531200
7,{'aqi': 5},"{'co': 867.84, 'no': 59.9, 'no2': 122.01, 'o3': 0, 'so2': 392.91, 'pm2_5': 28.34, 'pm10': 29.46, 'nh3': 0}",1672534800
8,{'aqi': 4},"{'co': 761.03, 'no': 48.28, 'no2': 113.79, 'o3': 0, 'so2': 339.51, 'pm2_5': 24.45, 'pm10': 25.47, 'nh3': 0}",1672538400
9,{'aqi': 4},"{'co': 674.25, 'no': 41.57, 'no2': 105.56, 'o3': 0.04, 'so2': 297.55, 'pm2_5': 19.35, 'pm10': 20.23, 'nh3': 0.02}",1672542000
10,{'aqi': 3},"{'co': 574.11, 'no': 33.08, 'no2': 93.22, 'o3': 3.44, 'so2': 244.14, 'pm2_5': 13.81, 'pm10': 14.56, 'nh3': 0.09}",1672545600
11,{'aqi': 3},"{'co': 520.71, 'no': 33.97, 'no2': 78.83, 'o3': 12.34, 'so2': 217.44, 'pm2_5': 11.26, 'pm10': 11.94, 'nh3': 0.18}",1672549200
12,{'aqi': 3},"{'co': 507.35, 'no': 38.44, 'no2': 67.86, 'o3': 20.21, 'so2': 215.53, 'pm2_5': 11.02, 'pm10': 11.66, 'nh3': 0.25}",1672552800
13,{'aqi': 3},"{'co': 520.71, 'no': 46.49, 'no2': 60.32, 'o3': 27.89, 'so2': 240.33, 'pm2_5': 12.4, 'pm10': 13.18, 'nh3': 0.30000000000000004}",1672556400
14,{'aqi': 3},"{'co': 494, 'no': 43.36, 'no2': 60.32, 'o3': 29.33, 'so2': 238.42, 'pm2_5': 12.65, 'pm10': 13.53, 'nh3': 0.30000000000000004}",1672560000
15,{'aqi': 3},"{'co': 433.92, 'no': 32.63, 'no2': 56.21, 'o3': 32.19, 'so2': 202.18, 'pm2_5': 10.8, 'pm10': 11.62, 'nh3': 0.27}",1672563600
16,{'aqi': 3},"{'co': 460.62, 'no': 33.97, 'no2': 61.01, 'o3': 22.71, 'so2': 181.2, 'pm2_5': 18.74, 'pm10': 19.87, 'nh3': 0.58}",1672567200
17,{'aqi': 3},"{'co': 514.03, 'no': 39.34, 'no2': 70.6, 'o3': 7.51, 'so2': 171.66, 'pm2_5': 30.27, 'pm10': 32.07, 'nh3': 1.03}",1672570800
18,{'aqi': 3},"{'co': 500.68, 'no': 38.44, 'no2': 69.23, 'o3': 0.2, 'so2': 164.03, 'pm2_5': 35.86, 'pm10': 38.46, 'nh3': 1.31}",1672574400
19,{'aqi': 3},"{'co': 440.6, 'no': 34.87, 'no2': 62.38, 'o3': 0.06, 'so2': 160.22, 'pm2_5': 38.54, 'pm10': 41.5, 'nh3': 1.42}",1672578000
20,{'aqi': 3},"{'co': 423.91, 'no': 36.21, 'no2': 58.26, 'o3': 0.04, 'so2': 156.4, 'pm2_5': 43.84, 'pm10': 47.07, 'nh3': 1.49}",1672581600
21,{'aqi': 3},"{'co': 433.92, 'no': 41.13, 'no2': 56.89, 'o3': 0.02, 'so2': 154.5, 'pm2_5': 49.67, 'pm10': 53.35, 'nh3': 1.55}",1672585200
22,{'aqi': 3},"{'co': 403.88, 'no': 35.32, 'no2': 54.84, 'o3': 0.06, 'so2': 129.7, 'pm2_5': 45.86, 'pm10': 49.65, 'nh3': 1.4100000000000001}",1672588800
23,{'aqi': 3},"{'co': 357.15, 'no': 25.03, 'no2': 52.09, 'o3': 0.2, 'so2': 105.86, 'pm2_5': 36.2, 'pm10': 39.48, 'nh3': 1.17}",1672592400
24,{'aqi': 3},"{'co': 323.77, 'no': 16.76, 'no2': 50.04, 'o3': 0.54, 'so2': 92.51, 'pm2_5': 25.4, 'pm10': 27.94, 'nh3': 0.9500000000000001}",1672596000
25,{'aqi': 3},"{'co': 320.43, 'no': 15.42, 'no2': 50.04, 'o3': 0.61, 'so2': 103.95, 'pm2_5': 18.04, 'pm10': 20.1, 'nh3': 0.81}",1672599600
26,{'aqi': 3},"{'co': 323.77, 'no': 15.65, 'no2': 50.04, 'o3': 0.6000000000000001, 'so2': 114.44, 'pm2_5': 14.84, 'pm10': 16.67, 'nh3': 0.74}",1672603200
27,{'aqi': 3},"{'co': 327.11, 'no': 16.32, 'no2': 50.04, 'o3': 0.56, 'so2': 122.07, 'pm2_5': 13.32, 'pm10': 14.96, 'nh3': 0.71}",1672606800
28,{'aqi': 5},"{'co': 761.03, 'no': 102.82, 'no2': 80.88, 'o3': 0, 'so2': 526.43, 'pm2_5': 23.77, 'pm10': 25.95, 'nh3': 1.55}",1672610400
29,{'aqi': 5},"{'co': 847.82, 'no': 118.02, 'no2': 85.68, 'o3': 0, 'so2': 572.2, 'pm2_5': 27.25, 'pm10': 29.63, 'nh3': 1.73}",1672614000
30,{'aqi': 5},"{'co': 881.2, 'no': 125.17, 'no2': 87.74, 'o3': 0, 'so2': 579.83, 'pm2_5': 29.42, 'pm10': 31.98, 'nh3': 1.8}",1672617600
31,{'aqi': 5},"{'co': 767.71, 'no': 104.61, 'no2': 78.14, 'o3': 0, 'so2': 415.8, 'pm2_5': 34.96, 'pm10': 37.59, 'nh3': 1.69}",1672621200
