,Date,Air Quality Index,CO,NO,NO2,O3,SO2,PM2_5,PM10,NH3
0,2020-11-29 00:00:00,2,367.17,0.33,62.38,29.33,122.07,7.12,7.71,0.23
1,2020-11-29 01:00:00,2,390.53,0.4,61.69,27.18,135.42,7.37,8.09,0.24
2,2020-11-29 02:00:00,2,383.85,0.26,54.15,32.54,127.79,6.68,7.43,0.23
3,2020-11-29 03:00:00,2,373.84,0.16,48.67,38.62,123.98,6.03,6.74,0.23
4,2020-11-29 04:00:00,2,413.9,0.75,61.69,22.71,137.33,9.05,9.84,0.38
5,2020-11-29 05:00:00,2,460.63,7.1,73.34,2.44,143.05,12.98,13.98,0.57
6,2020-11-29 06:00:00,2,447.27,15.2,65.12,0.41,125.89,13.61,14.85,0.64
7,2020-11-29 07:00:00,2,420.57,18.77,58.26,0.35,113.49,16.62,18.17,0.74
8,2020-11-29 08:00:00,3,423.91,22.8,55.52,0.23,111.58,20.64,22.37,0.88
9,2020-11-29 09:00:00,3,423.91,25.03,52.78,1.26,122.07,21.02,22.72,0.91
10,2020-11-29 10:00:00,3,423.91,28.16,58.95,15.74,202.18,10.34,11.3,0.63
11,2020-11-29 11:00:00,2,403.88,29.5,46.61,29.68,192.64,9.25,10.04,0.56
12,2020-11-29 12:00:00,2,413.9,28.61,42.84,41.13,188.83,9.03,9.66,0.43
13,2020-11-29 13:00:00,2,383.85,24.59,40.78,50.78,169.75,8.66,9.2,0.29
14,2020-11-29 14:00:00,2,373.84,22.8,39.41,52.93,162.13,8.4,8.9,0.21
15,2020-11-29 15:00:00,2,350.48,18.55,38.39,54.36,144.96,7.64,8.09,0.15
16,2020-11-29 16:00:00,2,353.81,13.64,45.24,48.64,144.96,7.68,8.11,0.17
17,2020-11-29 17:00:00,2,363.83,6.26,58.95,32.9,150.68,7.71,8.17,0.2
18,2020-11-29 18:00:00,2,360.49,0.92,67.17,20.03,146.87,7.59,8.15,0.21
19,2020-11-29 19:00:00,2,357.15,0.91,66.49,18.77,141.14,7.77,8.38,0.19
20,2020-11-29 20:00:00,2,380.52,1.44,71.97,13.59,156.4,9.04,9.76,0.17
21,2020-11-29 21:00:00,2,423.91,2.99,80.2,6.97,185.01,10.81,11.69,0.14
22,2020-11-29 22:00:00,2,447.27,4.25,82.25,4.38,192.64,11.23,12.25,0.13
23,2020-11-29 23:00:00,3,473.98,7.38,85.0,1.7,215.53,12.24,13.36,0.15
24,2020-11-30 00:00:00,3,547.41,14.08,94.59,0.27,270.84,14.87,16.21,0.21
25,2020-11-30 01:00:00,4,667.57,27.27,111.04,0.04,362.4,19.71,21.48,0.37
26,2020-11-30 02:00:00,4,761.03,42.47,123.38,0.01,442.51,23.74,25.97,0.58
27,2020-11-30 03:00:00,4,807.76,52.3,127.49,0.0,476.84,25.33,27.82,0.72
28,2020-11-30 04:00:00,4,841.14,59.01,131.61,0.0,495.91,26.66,29.33,0.86
29,2020-11-30 05:00:00,4,814.44,56.33,127.49,0.0,476.84,25.74,28.41,0.88
30,2020-11-30 06:00:00,4,727.65,44.7,115.16,0.01,404.36,22.28,24.68,0.78
31,2020-11-30 07:00:00,3,640.87,32.19,104.19,0.07,335.69,19.2,21.22,0.67
32,2020-11-30 08:00:00,3,620.84,28.39,97.33,0.1,312.81,18.46,20.22,0.72
33,2020-11-30 09:00:00,3,634.19,32.63,90.48,1.68,320.44,18.51,20.15,0.87
34,2020-11-30 10:00:00,3,674.25,48.73,74.03,14.31,343.32,19.95,21.68,0.96
35,2020-11-30 11:00:00,4,687.6,67.06,65.12,24.68,370.03,22.3,24.08,0.98
36,2020-11-30 12:00:00,4,714.3,80.47,63.06,31.11,404.36,25.38,27.12,0.89
37,2020-11-30 13:00:00,4,747.68,89.41,63.75,32.9,389.1,32.35,34.52,0.82
38,2020-11-30 14:00:00,4,767.71,95.67,65.12,30.04,354.77,40.61,43.3,0.78
39,2020-11-30 15:00:00,4,767.71,97.45,68.55,25.03,331.88,44.98,47.78,0.74
40,2020-11-30 16:00:00,5,867.84,112.65,84.31,14.31,385.28,54.3,57.17,0.94
41,2020-11-30 17:00:00,5,988.01,130.53,100.08,3.49,450.13,60.62,63.58,1.25
42,2020-11-30 18:00:00,5,1014.71,134.11,106.93,0.02,488.28,58.24,61.15,1.47
43,2020-11-30 19:00:00,5,867.84,108.18,100.08,0.0,434.88,52.93,55.64,1.57
44,2020-11-30 20:00:00,5,647.54,72.42,81.57,0.0,312.81,50.5,53.42,1.63
45,2020-11-30 21:00:00,4,507.36,44.26,71.97,0.03,236.51,44.37,47.59,1.46
46,2020-11-30 22:00:00,4,400.54,20.79,68.55,0.61,173.57,33.71,36.95,1.14
47,2020-11-30 23:00:00,4,380.52,14.98,67.17,0.93,158.31,29.42,32.28,1.06
48,2020-12-01 00:00:00,4,413.9,20.79,67.86,0.28,177.38,28.9,31.41,1.14
49,2020-12-01 01:00:00,4,480.65,33.08,69.92,0.04,186.92,30.82,33.17,1.24
50,2020-12-01 02:00:00,4,440.6,30.85,62.38,0.09,143.05,26.6,28.91,1.08
51,2020-12-01 03:00:00,2,347.14,17.43,50.72,0.71,98.23,17.78,20.03,0.78
52,2020-12-01 04:00:00,2,300.41,9.95,46.61,1.72,84.88,13.39,15.49,0.65
53,2020-12-01 05:00:00,2,307.08,9.5,47.98,1.92,88.69,13.03,14.94,0.64
