Date,Air Quality Index,CO,NO,NO2,O3,SO2,PM2_5,PM10,NH3,City
1606586400,2,367.17,0.33,62.38,29.33,122.07,7.12,7.71,0.23,Almaty
1606590000,2,390.53,0.4,61.69,27.18,135.42,7.37,8.09,0.24,Almaty
1606593600,2,383.85,0.26,54.15,32.54,127.79,6.68,7.43,0.23,Almaty
1606597200,2,373.84,0.16,48.67,38.62,123.98,6.03,6.74,0.23,Almaty
1606600800,2,413.9,0.75,61.69,22.71,137.33,9.05,9.84,0.38,Almaty
1606604400,2,460.63,7.1,73.34,2.44,143.05,12.98,13.98,0.57,Almaty
1606608000,2,447.27,15.2,65.12,0.41,125.89,13.61,14.85,0.64,Almaty
1606611600,2,420.57,18.77,58.26,0.35,113.49,16.62,18.17,0.74,Almaty
1606615200,3,423.91,22.8,55.52,0.23,111.58,20.64,22.37,0.88,Almaty
1606618800,3,423.91,25.03,52.78,1.26,122.07,21.02,22.72,0.91,Almaty
1606622400,3,423.91,28.16,58.95,15.74,202.18,10.34,11.3,0.63,Almaty
1606626000,2,403.88,29.5,46.61,29.68,192.64,9.25,10.04,0.56,Almaty
1606629600,2,413.9,28.61,42.84,41.13,188.83,9.03,9.66,0.43,Almaty
1606633200,2,383.85,24.59,40.78,50.78,169.75,8.66,9.2,0.29,Almaty
1606636800,2,373.84,22.8,39.41,52.93,162.13,8.4,8.9,0.21,Almaty
1606640400,2,350.48,18.55,38.39,54.36,144.96,7.64,8.09,0.15,Almaty
1606644000,2,353.81,13.64,45.24,48.64,144.96,7.68,8.11,0.17,Almaty
1606647600,2,363.83,6.26,58.95,32.9,150.68,7.71,8.17,0.2,Almaty
1606651200,2,360.49,0.92,67.17,20.03,146.87,7.59,8.15,0.21,Almaty
1606654800,2,357.15,0.91,66.49,18.77,141.14,7.77,8.38,0.19,Almaty
1606658400,2,380.52,1.44,71.97,13.59,156.4,9.04,9.76,0.17,Almaty
1606662000,2,423.91,2.99,80.2,6.97,185.01,10.81,11.69,0.14,Almaty
1606665600,2,447.27,4.25,82.25,4.38,192.64,11.23,12.25,0.13,Almaty
1606669200,3,473.98,7.38,85.0,1.7,215.53,12.24,13.36,0.15,Almaty
1606672800,3,547.41,14.08,94.59,0.27,270.84,14.87,16.21,0.21,Almaty
1606676400,4,667.57,27.27,111.04,0.04,362.4,19.71,21.48,0.37,Almaty
1606680000,4,761.03,42.47,123.38,0.01,442.51,23.74,25.97,0.58,Almaty
1606683600,4,807.76,52.3,127.49,0.0,476.84,25.33,27.82,0.72,Almaty
1606687200,4,841.14,59.01,131.61,0.0,495.91,26.66,29.33,0.86,Almaty
1606690800,4,814.44,56.33,127.49,0.0,476.84,25.74,28.41,0.88,Almaty
1606694400,4,727.65,44.7,115.16,0.01,404.36,22.28,24.68,0.78,Almaty
1606698000,3,640.87,32.19,104.19,0.07,335.69,19.2,21.22,0.67,Almaty
1606701600,3,620.84,28.39,97.33,0.1,312.81,18.46,20.22,0.72,Almaty
1606705200,3,634.19,32.63,90.48,1.68,320.44,18.51,20.15,0.87,Almaty
1606708800,3,674.25,48.73,74.03,14.31,343.32,19.95,21.68,0.96,Almaty
1606712400,4,687.6,67.06,65.12,24.68,370.03,22.3,24.08,0.98,Almaty
1606716000,4,714.3,80.47,63.06,31.11,404.36,25.38,27.12,0.89,Almaty
1606719600,4,747.68,89.41,63.75,32.9,389.1,32.35,34.52,0.82,Almaty
1606723200,4,767.71,95.67,65.12,30.04,354.77,40.61,43.3,0.78,Almaty
1606726800,4,767.71,97.45,68.55,25.03,331.88,44.98,47.78,0.74,Almaty
1606730400,5,867.84,112.65,84.31,14.31,385.28,54.3,57.17,0.94,Almaty
1606734000,5,988.01,130.53,100.08,3.49,450.13,60.62,63.58,1.25,Almaty
1606737600,5,1014.71,134.11,106.93,0.02,488.28,58.24,61.15,1.47,Almaty
1606741200,5,867.84,108.18,100.08,0.0,434.88,52.93,55.64,1.57,Almaty
1606744800,5,647.54,72.42,81.57,0.0,312.81,50.5,53.42,1.63,Almaty
1606748400,4,507.36,44.26,71.97,0.03,236.51,44.37,47.59,1.46,Almaty
1606752000,4,400.54,20.79,68.55,0.61,173.57,33.71,36.95,1.14,Almaty
1606755600,4,380.52,14.98,67.17,0.93,158.31,29.42,32.28,1.06,Almaty
1606759200,4,413.9,20.79,67.86,0.28,177.38,28.9,31.41,1.14,Almaty
1606762800,4,480.65,33.08,69.92,0.04,186.92,30.82,33.17,1.24,Almaty
1606766400,4,440.6,30.85,62.38,0.09,143.05,26.6,28.91,1.08,Almaty
1606770000,2,347.14,17.43,50.72,0.71,98.23,17.78,20.03,0.78,Almaty
1606773600,2,300.41,9.95,46.61,1.72,84.88,13.39,15.49,0.65,Almaty
1606777200,2,307.08,9.5,47.98,1.92,88.69,13.03,14.94,0.64,Almaty
1606780800,2,343.8,15.2,52.09,0.81,111.58,15.47,17.33,0.74,Almaty
1606784400,4,627.52,72.42,70.6,0.0,331.88,27.86,30.08,1.35,Almaty
1606788000,4,794.41,106.39,76.77,0.0,373.84,49.02,51.94,1.95,Almaty
1606791600,5,1014.71,150.2,86.37,0.02,457.76,75.19,79.03,2.69,Almaty
1606795200,5,1241.68,189.54,98.71,0.17,564.58,93.5,98.05,3.23,Almaty
1606798800,5,1508.71,232.46,117.9,0.36,694.28,102.13,106.69,3.67,Almaty
1606802400,5,1575.47,225.31,132.98,0.58,770.57,91.72,95.88,3.67,Almaty
1606806000,5,1428.6,184.18,131.61,3.49,686.65,79.02,83.19,3.29,Almaty
1606809600,5,1348.5,169.87,124.75,3.98,610.35,77.38,81.74,3.14,Almaty
1606813200,5,1375.2,184.18,119.27,4.11,633.24,78.69,83.22,3.17,Almaty
1606816800,5,1482.01,209.21,115.16,3.84,633.24,89.96,94.85,3.45,Almaty
1606820400,5,1655.58,243.19,123.38,1.07,602.72,112.45,118.14,3.83,Almaty
1606824000,5,1642.23,227.09,139.83,0.01,495.91,122.5,129.35,3.48,Almaty
1606827600,5,1281.74,151.99,141.2,0.0,331.88,103.99,110.7,2.53,Almaty
1606831200,5,1161.58,137.69,131.61,0.0,301.36,106.83,113.08,2.5,Almaty
1606834800,5,1401.9,189.54,137.09,0.0,392.91,141.8,148.57,3.42,Almaty
1606838400,5,1682.28,243.19,148.06,0.0,480.65,175.99,183.37,4.24,Almaty
1606842000,5,1682.28,243.19,148.06,0.0,461.58,177.37,184.71,4.18,Almaty
1606845600,5,1428.6,182.39,146.69,0.0,389.1,138.1,144.68,3.17,Almaty
1606849200,5,1094.82,105.5,146.69,0.0,320.44,87.88,93.5,2.03,Almaty
1606852800,5,947.95,79.57,141.2,0.0,278.47,67.33,72.3,1.63,Almaty
1606856400,5,988.01,93.88,138.46,0.0,282.29,70.82,75.56,1.77,Almaty
1606860000,5,1255.04,141.26,146.69,0.0,347.14,96.73,102.07,2.41,Almaty
1606863600,5,1388.55,164.51,152.17,0.0,370.03,107.52,113.33,2.66,Almaty
1606867200,5,1255.04,134.11,152.17,0.0,350.95,90.81,96.85,2.25,Almaty
1606870800,5,1054.76,88.51,152.17,0.0,343.32,72.65,78.86,1.87,Almaty
1606874400,5,974.66,76.89,149.43,0.0,350.95,69.55,75.63,1.85,Almaty
1606878000,5,947.95,83.15,139.83,0.7,316.62,69.87,75.6,1.76,Almaty
1606881600,5,1108.17,135.9,131.61,6.97,671.39,46.17,49.72,1.35,Almaty
1606885200,5,1228.33,168.09,124.75,13.59,656.13,51.48,55.29,1.38,Almaty
1606888800,5,1401.9,209.21,127.49,17.35,694.28,60.76,65.03,1.33,Almaty
1606892400,4,1041.41,137.69,104.19,25.75,473.02,43.93,47.37,0.56,Almaty
1606896000,4,988.01,128.75,100.08,25.03,434.88,44.33,48.09,0.32,Almaty
1606899600,4,974.66,125.17,102.82,20.39,427.25,44.18,47.89,0.26,Almaty
1606903200,4,1094.82,135.9,122.01,11.98,480.65,49.72,53.46,0.34,Almaty
