,Date,Air Quality Index,CO,NO,NO2,O3,SO2,PM2_5,PM10,NH3
0,2022-08-01 00:00:00,2,307.08,0.11,52.09,21.64,55.31,16.67,18.38,0.0
1,2022-08-01 01:00:00,2,337.12,0.61,71.97,12.16,100.14,19.97,21.74,0.0
2,2022-08-01 02:00:00,2,333.79,1.93,67.86,4.92,91.55,16.64,18.65,0.0
3,2022-08-01 03:00:00,2,303.75,2.26,55.52,4.56,78.2,13.83,16.08,0.0
4,2022-08-01 04:00:00,2,287.06,3.1,49.35,3.4,76.29,12.78,15.15,0.0
5,2022-08-01 05:00:00,2,287.06,5.31,47.3,1.9,82.97,13.24,15.65,0.0
6,2022-08-01 06:00:00,2,293.73,8.49,46.61,1.01,93.46,15.14,17.56,0.0
7,2022-08-01 07:00:00,2,313.76,16.32,45.24,2.39,113.49,19.03,21.41,0.0
8,2022-08-01 08:00:00,3,403.88,36.21,46.61,5.63,162.12,23.2,25.61,0.0
9,2022-08-01 09:00:00,4,687.6,87.62,63.06,4.2,331.88,36.52,39.3,0.0
10,2022-08-01 10:00:00,2,387.19,18.78,59.63,26.46,185.01,12.43,13.79,0.0
11,2022-08-01 11:00:00,2,313.76,8.72,45.24,41.84,129.7,7.66,8.72,0.0
12,2022-08-01 12:00:00,2,320.43,9.16,44.55,44.35,135.42,7.77,8.74,0.0
13,2022-08-01 13:00:00,2,347.14,7.38,55.52,40.05,158.31,9.51,10.49,0.0
14,2022-08-01 14:00:00,2,400.54,7.15,71.29,32.9,198.36,12.59,13.59,0.0
15,2022-08-01 15:00:00,3,453.95,7.26,84.31,25.39,234.6,15.92,16.93,0.0
16,2022-08-01 16:00:00,3,480.65,10.17,84.31,28.61,247.96,18.03,19.15,0.0
17,2022-08-01 17:00:00,3,447.27,11.62,68.55,38.62,213.62,15.97,17.15,0.0
18,2022-08-01 18:00:00,2,377.18,8.49,52.78,46.49,164.03,12.06,13.17,0.0
19,2022-08-01 19:00:00,2,360.49,5.92,52.78,43.27,158.31,10.11,11.17,0.0
20,2022-08-01 20:00:00,2,390.53,2.29,66.49,25.75,185.01,10.1,11.21,0.0
21,2022-08-01 21:00:00,2,390.53,0.39,67.17,16.45,185.01,9.39,10.54,0.0
22,2022-08-01 22:00:00,2,420.57,7.26,73.34,2.37,143.05,14.08,15.69,0.08
23,2022-08-01 23:00:00,2,453.95,21.68,67.86,0.02,111.58,19.41,21.58,0.27
24,2022-08-02 00:00:00,3,453.95,29.5,60.32,0.0,101.09,20.59,23.18,0.36
25,2022-08-02 01:00:00,2,423.91,31.29,52.09,0.0,95.37,19.19,22.35,0.53
26,2022-08-02 02:00:00,2,357.15,24.59,45.24,0.02,74.39,16.24,19.8,0.48
