,Date,Air Quality Index,CO,NO,NO2,O3,SO2,PM2_5,PM10,NH3
0,2022-12-01 00:00:00,1,267.03,0.14,35.3,36.84,45.78,9.03,10.3,0.45
1,2022-12-01 01:00:00,1,270.37,0.06,32.9,45.42,49.11,6.3,7.21,0.44
2,2022-12-01 02:00:00,2,333.79,0.37,50.04,27.89,69.62,9.37,10.4,0.59
3,2022-12-01 03:00:00,2,413.89,2.49,70.6,8.4,89.65,14.88,16.43,0.78
4,2022-12-01 04:00:00,2,360.49,0.31,51.41,34.69,111.58,8.44,9.87,0.17
5,2022-12-01 05:00:00,2,360.49,0.11,48.67,43.63,125.89,7.23,8.14,0.04
6,2022-12-01 06:00:00,2,380.52,0.16,54.84,39.34,144.96,9.28,10.1,0.0
7,2022-12-01 07:00:00,2,383.85,0.21,54.84,36.12,146.87,9.94,10.58,0.0
8,2022-12-01 08:00:00,2,387.19,0.27,53.47,33.62,137.33,8.63,9.33,0.01
9,2022-12-01 09:00:00,2,363.83,0.27,47.3,35.76,113.49,6.69,7.39,0.12
10,2022-12-01 10:00:00,1,317.1,1.48,37.01,50.07,86.78,4.49,5.19,0.21
11,2022-12-01 11:00:00,2,333.79,7.49,38.39,53.64,109.67,5.13,5.8,0.29
12,2022-12-01 12:00:00,2,403.88,21.46,46.61,47.92,171.66,8.57,9.33,0.35
13,2022-12-01 13:00:00,3,520.71,40.68,61.69,35.41,259.4,15.6,16.64,0.24
14,2022-12-01 14:00:00,3,594.14,50.07,78.14,20.56,297.55,21.23,22.46,0.1
15,2022-12-01 15:00:00,3,594.14,40.68,87.74,7.06,263.21,21.88,23.08,0.01
16,2022-12-01 16:00:00,3,580.79,33.53,86.37,0.18,230.79,19.2,20.16,0.0
17,2022-12-01 17:00:00,3,600.81,41.13,81.57,0.04,259.4,18.12,19.01,0.06
18,2022-12-01 18:00:00,4,694.27,52.3,95.96,0.0,350.95,19.99,20.9,0.19
19,2022-12-01 19:00:00,4,754.36,50.07,112.41,0.0,385.28,19.64,20.56,0.23
20,2022-12-01 20:00:00,3,660.9,29.95,109.67,0.05,308.99,15.02,15.78,0.27
21,2022-12-01 21:00:00,3,547.41,10.73,100.08,1.81,232.7,10.9,11.51,0.28
22,2022-12-01 22:00:00,2,473.98,2.93,85.68,7.42,173.57,8.31,8.89,0.26
23,2022-12-01 23:00:00,2,453.95,3.16,79.51,6.62,154.5,7.35,7.9,0.27
24,2022-12-02 00:00:00,2,447.27,4.69,80.88,3.67,148.77,6.73,7.23,0.26
25,2022-12-02 01:00:00,2,427.25,5.98,78.83,2.55,139.24,6.24,6.74,0.23
26,2022-12-02 02:00:00,2,397.21,4.86,74.03,3.8,127.79,5.57,6.04,0.21
27,2022-12-02 03:00:00,2,370.5,3.07,69.92,7.06,121.12,5.11,5.57,0.2
28,2022-12-02 04:00:00,2,363.83,2.63,69.92,8.58,131.61,5.25,5.69,0.22
29,2022-12-02 05:00:00,2,393.87,5.64,76.77,3.62,164.03,6.25,6.73,0.28
30,2022-12-02 06:00:00,3,440.6,12.63,83.63,0.65,207.9,7.75,8.33,0.38
31,2022-12-02 07:00:00,3,500.68,20.79,89.11,0.16,259.4,10.03,10.8,0.48
32,2022-12-02 08:00:00,3,580.79,32.19,89.11,0.02,301.36,12.82,13.89,0.6
33,2022-12-02 09:00:00,3,620.84,37.1,83.63,0.23,308.99,14.41,15.83,0.63
34,2022-12-02 10:00:00,3,567.44,30.4,71.29,4.74,251.77,12.78,14.38,0.5
35,2022-12-02 11:00:00,3,514.03,25.7,58.26,16.99,205.99,10.86,12.24,0.43
36,2022-12-02 12:00:00,2,487.33,23.69,47.98,31.47,183.11,10.25,11.4,0.43
37,2022-12-02 13:00:00,2,447.27,20.56,40.44,44.35,164.03,8.76,9.68,0.36
38,2022-12-02 14:00:00,2,440.6,19.67,41.81,45.42,165.94,8.82,9.66,0.32
39,2022-12-02 15:00:00,2,433.92,19.67,45.24,43.27,167.85,9.09,9.92,0.29
40,2022-12-02 16:00:00,3,534.06,33.97,67.86,23.25,240.33,14.97,16.3,0.53
41,2022-12-02 17:00:00,3,594.14,46.49,83.63,5.01,289.92,18.59,20.22,0.74
42,2022-12-02 18:00:00,3,540.73,46.04,78.83,0.03,270.84,17.45,19.14,0.76
43,2022-12-02 19:00:00,3,447.27,35.32,69.92,0.05,221.25,14.76,16.3,0.65
44,2022-12-02 20:00:00,3,403.88,29.95,63.06,0.09,204.09,14.42,15.86,0.63
45,2022-12-02 21:00:00,3,407.22,30.85,61.01,0.08,209.81,15.62,17.15,0.67
46,2022-12-02 22:00:00,2,390.53,25.26,61.01,0.24,198.36,15.24,16.97,0.65
47,2022-12-02 23:00:00,2,363.83,18.55,61.69,0.55,181.2,13.36,14.95,0.59
48,2022-12-03 00:00:00,2,353.81,15.42,61.69,0.82,175.48,11.39,12.75,0.55
49,2022-12-03 01:00:00,2,317.1,4.19,55.52,9.39,137.33,7.37,8.32,0.36
50,2022-12-03 02:00:00,2,297.07,0.47,49.35,26.11,113.49,5.8,6.56,0.27
51,2022-12-03 03:00:00,2,297.07,0.22,48.67,34.69,111.58,5.59,6.31,0.26
52,2022-12-03 04:00:00,2,340.46,0.77,63.06,23.25,143.05,7.3,8.14,0.35
53,2022-12-03 05:00:00,2,410.56,5.53,80.2,5.32,192.64,10.02,11.16,0.53
54,2022-12-03 06:00:00,3,473.98,18.33,82.25,0.58,236.51,12.61,14.14,0.71
55,2022-12-03 07:00:00,3,534.06,33.97,80.88,0.09,282.29,16.36,18.34,0.92
56,2022-12-03 08:00:00,4,694.27,68.84,87.74,0.0,404.36,25.03,27.48,1.36
57,2022-12-03 09:00:00,5,974.66,118.02,105.56,0.25,595.09,38.47,41.41,1.98
58,2022-12-03 10:00:00,5,1081.47,134.11,108.3,4.6,663.76,31.62,33.74,1.52
59,2022-12-03 11:00:00,5,988.01,108.18,90.48,11.8,587.46,30.35,32.35,1.39
60,2022-12-03 12:00:00,4,781.06,88.51,73.34,17.34,453.95,26.4,28.3,1.12
61,2022-12-03 13:00:00,4,660.9,73.31,68.55,20.38,381.47,23.27,25.14,0.9
62,2022-12-03 14:00:00,3,554.08,53.64,65.8,22.53,308.99,19.03,20.74,0.71
63,2022-12-03 15:00:00,3,410.56,29.5,59.63,27.18,215.53,12.77,14.12,0.52
64,2022-12-03 16:00:00,2,377.18,25.26,53.47,31.11,162.12,14.22,15.54,0.58
65,2022-12-03 17:00:00,3,433.92,25.03,71.97,10.82,173.57,21.67,23.26,0.9
66,2022-12-03 18:00:00,4,560.76,38.89,87.05,0.07,211.72,32.95,35.02,1.36
67,2022-12-03 19:00:00,4,694.27,60.8,94.59,0.0,255.58,47.09,49.75,1.82
68,2022-12-03 20:00:00,5,787.73,73.31,101.45,0.0,278.47,58.97,62.41,2.12
69,2022-12-03 21:00:00,5,794.41,67.95,106.93,0.0,259.4,62.38,66.8,2.18
70,2022-12-03 22:00:00,4,654.22,41.13,101.45,0.02,240.33,40.24,44.62,1.57
71,2022-12-03 23:00:00,4,520.71,25.7,85.68,0.12,200.27,27.21,30.79,1.2
72,2022-12-04 00:00:00,2,440.6,16.76,74.71,0.37,183.11,18.5,21.36,0.96
73,2022-12-04 01:00:00,2,390.53,9.28,67.86,1.13,158.31,14.11,16.52,0.78
74,2022-12-04 02:00:00,2,380.52,8.49,63.75,1.32,137.33,15.29,17.84,0.83
75,2022-12-04 03:00:00,2,367.16,6.31,60.32,2.64,120.16,15.74,18.35,0.86
76,2022-12-04 04:00:00,2,370.5,5.76,60.32,3.04,113.49,16.85,19.57,0.93
77,2022-12-04 05:00:00,2,380.52,7.49,61.01,2.19,114.44,18.45,21.26,1.01
78,2022-12-04 06:00:00,3,397.21,9.95,63.06,1.52,119.21,20.76,23.61,1.11
79,2022-12-04 07:00:00,4,447.27,21.01,66.49,0.26,139.24,29.93,32.94,1.36
80,2022-12-04 08:00:00,4,514.03,33.53,69.23,0.04,158.31,38.68,41.84,1.61
81,2022-12-04 09:00:00,4,527.38,34.87,70.6,0.17,164.03,37.77,40.92,1.6
82,2022-12-04 10:00:00,2,453.95,18.33,69.92,4.07,175.48,18.91,21.11,0.97
83,2022-12-04 11:00:00,3,507.35,28.16,73.34,8.05,228.88,17.07,19.01,0.96
84,2022-12-04 12:00:00,3,640.87,50.96,83.63,8.67,331.88,19.71,21.79,1.12
