,Date,Air Quality Index,CO,NO,NO2,O3,SO2,PM2_5,PM10,NH3
0,2023-01-01 00:00:00,5,1028.06,105.5,135.72,0.0,602.72,57.28,58.68,0.0
1,2023-01-01 01:00:00,5,1148.22,114.44,149.43,0.0,640.87,62.87,64.41,0.0
2,2023-01-01 02:00:00,5,1134.87,102.82,150.8,0.0,602.72,56.66,58.26,0.0
3,2023-01-01 03:00:00,5,1054.76,84.94,143.95,0.0,518.8,46.17,47.7,0.0
4,2023-01-01 04:00:00,5,974.66,73.31,137.09,0.0,453.95,37.1,38.55,0.0
5,2023-01-01 05:00:00,5,961.3,74.21,131.61,0.0,438.69,32.36,33.79,0.0
6,2023-01-01 06:00:00,5,934.6,73.31,127.49,0.0,438.69,30.15,31.44,0.0
7,2023-01-01 07:00:00,5,867.84,59.9,122.01,0.0,392.91,28.34,29.46,0.0
8,2023-01-01 08:00:00,4,761.03,48.28,113.79,0.0,339.51,24.45,25.47,0.0
9,2023-01-01 09:00:00,4,674.25,41.57,105.56,0.04,297.55,19.35,20.23,0.02
10,2023-01-01 10:00:00,3,574.11,33.08,93.22,3.44,244.14,13.81,14.56,0.09
11,2023-01-01 11:00:00,3,520.71,33.97,78.83,12.34,217.44,11.26,11.94,0.18
12,2023-01-01 12:00:00,3,507.35,38.44,67.86,20.21,215.53,11.02,11.66,0.25
13,2023-01-01 13:00:00,3,520.71,46.49,60.32,27.89,240.33,12.4,13.18,0.3
14,2023-01-01 14:00:00,3,494.0,43.36,60.32,29.33,238.42,12.65,13.53,0.3
15,2023-01-01 15:00:00,3,433.92,32.63,56.21,32.19,202.18,10.8,11.62,0.27
16,2023-01-01 16:00:00,3,460.62,33.97,61.01,22.71,181.2,18.74,19.87,0.58
17,2023-01-01 17:00:00,3,514.03,39.34,70.6,7.51,171.66,30.27,32.07,1.03
18,2023-01-01 18:00:00,3,500.68,38.44,69.23,0.2,164.03,35.86,38.46,1.31
19,2023-01-01 19:00:00,3,440.6,34.87,62.38,0.06,160.22,38.54,41.5,1.42
20,2023-01-01 20:00:00,3,423.91,36.21,58.26,0.04,156.4,43.84,47.07,1.49
21,2023-01-01 21:00:00,3,433.92,41.13,56.89,0.02,154.5,49.67,53.35,1.55
22,2023-01-01 22:00:00,3,403.88,35.32,54.84,0.06,129.7,45.86,49.65,1.41
23,2023-01-01 23:00:00,3,357.15,25.03,52.09,0.2,105.86,36.2,39.48,1.17
24,2023-01-02 00:00:00,3,323.77,16.76,50.04,0.54,92.51,25.4,27.94,0.95
25,2023-01-02 01:00:00,3,320.43,15.42,50.04,0.61,103.95,18.04,20.1,0.81
26,2023-01-02 02:00:00,3,323.77,15.65,50.04,0.6,114.44,14.84,16.67,0.74
27,2023-01-02 03:00:00,3,327.11,16.32,50.04,0.56,122.07,13.32,14.96,0.71
