Date,Air Quality Index,CO,NO,NO2,O3,SO2,PM2_5,PM10,NH3,City
1606586400,2,247.0,0.0,4.03,85.83,7.99,1.5,1.63,0.19,Semey
1606590000,1,253.68,0.0,3.34,76.53,6.44,1.06,1.18,0.16,Semey
1606593600,1,247.0,0.0,3.3,72.24,7.51,0.79,0.92,0.12,Semey
1606597200,1,236.99,0.0,3.56,76.53,8.7,0.59,0.74,0.1,Semey
1606600800,2,233.65,0.0,3.86,81.54,9.78,0.55,0.73,0.1,Semey
1606604400,2,233.65,0.0,3.94,83.69,10.25,0.53,0.72,0.09,Semey
1606608000,2,236.99,0.0,4.11,82.97,10.73,0.56,0.77,0.1,Semey
1606611600,2,240.33,0.0,5.01,80.11,12.64,0.88,1.15,0.11,Semey
1606615200,1,243.66,0.0,5.66,77.96,14.07,1.11,1.45,0.13,Semey
1606618800,1,236.99,0.01,5.57,77.96,13.83,1.16,1.52,0.13,Semey
1606622400,2,230.31,0.22,4.97,80.11,12.99,1.14,1.49,0.11,Semey
1606626000,2,230.31,0.66,4.58,81.54,13.47,1.09,1.43,0.1,Semey
1606629600,2,226.97,1.01,4.24,82.97,13.71,0.97,1.29,0.1,Semey
1606633200,2,226.97,1.05,3.9,81.54,12.88,0.85,1.13,0.09,Semey
1606636800,1,230.31,0.95,4.37,76.53,13.71,0.9,1.19,0.09,Semey
1606640400,1,233.65,0.62,5.14,70.81,14.66,0.95,1.28,0.1,Semey
1606644000,1,240.33,0.26,6.51,65.8,16.45,1.37,1.74,0.13,Semey
1606647600,1,250.34,0.03,8.05,60.08,17.64,1.99,2.43,0.17,Semey
1606651200,1,250.34,0.01,8.82,58.65,16.93,2.39,2.86,0.2,Semey
1606654800,1,257.02,0.01,10.11,59.37,19.07,3.26,3.8,0.23,Semey
1606658400,1,263.69,0.02,11.31,57.94,22.41,4.23,4.87,0.25,Semey
1606662000,1,267.03,0.02,11.65,55.79,23.84,4.67,5.36,0.26,Semey
1606665600,1,273.71,0.03,12.0,53.64,24.08,5.13,5.85,0.27,Semey
1606669200,1,277.04,0.04,12.51,50.07,23.37,5.48,6.23,0.3,Semey
1606672800,1,277.04,0.03,11.82,48.64,20.74,4.44,5.11,0.29,Semey
1606676400,1,283.72,0.06,13.37,44.7,22.65,4.7,5.35,0.31,Semey
1606680000,1,290.39,0.1,15.77,39.7,25.51,5.83,6.53,0.36,Semey
1606683600,1,300.41,0.15,17.82,34.69,28.61,7.09,7.89,0.4,Semey
1606687200,1,313.76,0.25,21.42,29.33,40.53,8.8,9.72,0.48,Semey
1606690800,2,327.11,0.39,24.68,25.03,55.79,10.19,11.21,0.58,Semey
1606694400,2,340.46,0.66,27.42,20.39,67.71,12.08,13.24,0.67,Semey
1606698000,2,370.5,2.1,34.27,12.16,85.83,19.16,20.75,0.87,Semey
1606701600,4,420.57,6.76,40.44,3.89,108.72,28.34,30.52,1.17,Semey
1606705200,4,460.63,14.53,41.13,1.06,129.7,35.26,37.61,1.39,Semey
1606708800,4,480.65,24.14,33.93,6.97,141.14,38.16,40.75,1.44,Semey
1606712400,4,514.03,35.32,29.47,13.95,164.03,41.53,44.59,1.47,Semey
1606716000,4,560.76,46.49,30.16,16.63,200.27,47.33,50.86,1.54,Semey
1606719600,4,574.11,49.62,31.19,18.06,211.72,49.8,53.76,1.41,Semey
1606723200,4,554.09,45.15,32.56,18.06,198.36,48.01,52.26,1.19,Semey
1606726800,4,527.38,37.55,35.64,15.38,177.38,44.23,48.54,1.03,Semey
1606730400,4,487.33,24.14,42.16,9.57,137.33,36.46,40.47,0.84,Semey
1606734000,4,460.63,11.62,51.41,1.7,106.81,28.23,31.52,0.67,Semey
1606737600,3,447.27,7.94,52.78,1.39,93.46,23.87,26.46,0.6,Semey
1606741200,3,433.92,6.31,50.72,2.35,80.11,23.24,25.33,0.58,Semey
1606744800,3,410.56,5.2,46.61,3.49,62.94,23.18,24.97,0.57,Semey
1606748400,3,383.85,3.8,40.1,5.19,48.16,21.38,22.87,0.55,Semey
1606752000,3,370.5,3.1,35.64,6.53,41.01,20.6,21.88,0.55,Semey
1606755600,2,353.81,1.96,30.5,9.39,33.85,17.57,18.69,0.48,Semey
1606759200,2,333.79,0.73,23.65,15.56,25.75,12.1,12.92,0.34,Semey
1606762800,1,320.44,0.41,19.88,20.21,21.94,9.74,10.39,0.27,Semey
1606766400,1,313.76,0.32,18.34,21.99,20.27,9.26,9.83,0.22,Semey
1606770000,1,307.08,0.27,17.31,23.25,19.79,8.89,9.41,0.19,Semey
1606773600,1,300.41,0.2,15.42,26.11,19.07,8.19,8.66,0.17,Semey
1606777200,1,293.73,0.19,14.57,27.54,19.79,7.8,8.26,0.18,Semey
1606780800,1,290.39,0.2,14.74,28.25,22.17,8.01,8.5,0.22,Semey
1606784400,2,300.41,0.4,18.68,25.39,29.56,11.0,11.66,0.37,Semey
1606788000,2,310.42,0.58,21.59,22.71,34.33,13.49,14.35,0.55,Semey
1606791600,2,307.08,0.62,21.76,22.53,34.33,13.58,14.53,0.66,Semey
1606795200,2,310.42,1.15,22.96,22.35,38.15,13.87,14.93,0.72,Semey
1606798800,2,320.44,2.68,24.68,22.35,47.68,13.99,15.1,0.74,Semey
1606802400,2,337.12,4.47,28.1,22.35,64.85,12.89,13.95,0.76,Semey
1606806000,2,357.15,5.87,31.87,22.17,78.2,12.16,13.13,0.77,Semey
1606809600,2,390.53,9.84,37.01,18.06,87.74,17.06,18.23,0.89,Semey
1606813200,3,420.57,11.85,43.18,14.48,94.41,20.99,22.25,1.0,Semey
1606816800,3,413.9,7.15,46.61,11.18,83.92,20.3,21.43,1.01,Semey
1606820400,2,387.19,2.43,44.55,10.01,70.57,17.86,18.84,1.0,Semey
1606824000,2,373.84,1.31,39.76,13.95,61.99,17.08,18.01,0.98,Semey
1606827600,2,360.49,0.85,34.96,18.95,56.27,18.41,19.41,0.93,Semey
1606831200,3,360.49,0.86,36.67,19.49,57.22,22.81,23.98,0.88,Semey
1606834800,4,370.5,0.96,40.78,17.7,60.08,26.72,28.02,0.8,Semey
1606838400,4,373.84,1.05,43.87,16.45,61.99,28.92,30.27,0.74,Semey
1606842000,3,357.15,0.47,37.7,23.6,54.36,23.6,24.68,0.58,Semey
1606845600,2,320.44,0.08,24.33,38.62,40.53,12.97,13.62,0.38,Semey
1606849200,1,293.73,0.03,16.62,48.64,33.38,7.25,7.68,0.31,Semey
