Date,Air Quality Index,CO,NO,NO2,O3,SO2,PM2_5,PM10,NH3,City
1606586400,2,280.38,0.01,13.02,38.98,12.52,13.01,20.39,1.3,Shymkent
1606590000,2,277.04,0.01,11.82,41.13,10.49,11.25,17.8,1.35,Shymkent
1606593600,1,267.03,0.0,9.6,44.7,8.35,9.32,14.73,1.31,Shymkent
1606597200,1,257.02,0.0,7.97,47.21,7.21,8.12,12.4,1.27,Shymkent
1606600800,1,253.68,0.0,7.45,47.21,7.33,7.93,11.79,1.24,Shymkent
1606604400,1,253.68,0.0,7.97,45.42,8.23,8.35,12.71,1.25,Shymkent
1606608000,1,260.35,0.01,8.91,43.63,9.18,9.07,14.38,1.28,Shymkent
1606611600,2,263.69,0.01,10.8,43.63,11.21,10.11,16.01,1.33,Shymkent
1606615200,2,273.71,0.02,13.37,43.27,13.11,11.04,16.43,1.41,Shymkent
1606618800,2,277.04,0.02,14.74,43.63,14.42,11.44,16.02,1.44,Shymkent
1606622400,2,273.71,0.96,13.37,45.78,15.26,11.46,15.23,1.41,Shymkent
1606626000,2,267.03,2.52,10.45,48.64,15.5,11.09,14.02,1.36,Shymkent
1606629600,1,253.68,2.88,7.45,52.21,13.83,9.09,11.24,1.17,Shymkent
1606633200,1,226.97,1.57,4.71,72.96,10.61,4.36,5.62,0.56,Shymkent
1606636800,2,220.3,1.17,3.9,82.25,9.3,3.18,4.15,0.42,Shymkent
1606640400,2,216.96,0.89,3.51,86.55,8.46,2.75,3.57,0.37,Shymkent
1606644000,2,223.64,0.87,4.46,81.54,7.57,3.24,4.08,0.42,Shymkent
1606647600,1,240.33,0.77,7.28,68.67,7.21,4.53,5.49,0.55,Shymkent
1606651200,1,257.02,0.13,10.54,55.08,9.06,5.92,6.98,0.78,Shymkent
1606654800,1,253.68,0.01,10.97,46.49,10.85,7.4,8.55,0.97,Shymkent
1606658400,1,247.0,0.01,10.03,44.35,11.56,7.8,8.92,1.05,Shymkent
1606662000,1,243.66,0.0,8.74,49.35,11.33,6.84,7.81,0.97,Shymkent
1606665600,1,236.99,0.0,7.37,56.51,10.73,5.26,6.08,0.82,Shymkent
1606669200,1,236.99,0.0,6.68,60.08,10.13,4.58,5.37,0.77,Shymkent
1606672800,1,233.65,0.0,5.74,62.23,9.18,3.8,4.56,0.73,Shymkent
1606676400,1,230.31,0.0,5.44,63.66,8.7,3.46,4.2,0.78,Shymkent
1606680000,1,230.31,0.0,5.48,62.94,8.58,3.64,4.4,0.94,Shymkent
1606683600,1,230.31,0.0,5.48,62.94,8.46,3.77,4.54,1.06,Shymkent
1606687200,1,226.97,0.0,5.48,62.94,8.58,3.7,4.45,1.11,Shymkent
1606690800,1,226.97,0.0,5.44,63.66,8.82,3.48,4.17,1.09,Shymkent
1606694400,1,226.97,0.0,5.57,65.09,9.06,3.32,3.96,1.03,Shymkent
1606698000,1,230.31,0.0,6.68,65.09,10.25,3.74,4.42,0.94,Shymkent
1606701600,1,243.66,0.0,8.82,63.66,12.16,4.84,5.64,0.92,Shymkent
1606705200,1,250.34,0.01,10.37,62.94,13.71,5.92,6.82,0.93,Shymkent
1606708800,1,250.34,0.54,9.94,65.8,14.31,6.3,7.26,0.91,Shymkent
1606712400,1,243.66,1.43,7.8,70.1,13.71,5.45,6.29,0.78,Shymkent
1606716000,1,236.99,1.79,6.08,72.96,12.4,4.14,4.8,0.6,Shymkent
1606719600,1,230.31,1.66,5.44,76.53,12.28,3.02,3.53,0.45,Shymkent
1606723200,1,230.31,1.45,5.57,75.82,11.8,3.09,3.59,0.41,Shymkent
1606726800,1,226.97,1.13,5.66,74.39,10.85,3.23,3.73,0.38,Shymkent
1606730400,1,226.97,0.87,6.0,72.24,10.61,3.21,3.71,0.36,Shymkent
1606734000,1,230.31,0.42,7.2,68.67,10.85,3.18,3.66,0.38,Shymkent
1606737600,1,236.99,0.04,8.48,64.37,13.71,3.25,3.74,0.44,Shymkent
1606741200,1,236.99,0.0,8.31,62.23,15.5,3.49,3.99,0.48,Shymkent
1606744800,1,233.65,0.0,7.54,60.8,15.26,3.6,4.11,0.47,Shymkent
1606748400,1,230.31,0.0,6.43,60.8,13.59,3.31,3.79,0.45,Shymkent
1606752000,1,230.31,0.0,6.17,60.08,12.16,3.5,3.98,0.51,Shymkent
1606755600,1,233.65,0.0,6.68,60.08,11.56,4.03,4.56,0.62,Shymkent
1606759200,1,233.65,0.0,6.51,60.08,10.25,3.97,4.52,0.7,Shymkent
1606762800,1,236.99,0.0,6.51,59.37,9.42,4.42,5.15,0.88,Shymkent
1606766400,1,233.65,0.0,6.0,59.37,8.58,4.57,5.4,1.08,Shymkent
1606770000,1,230.31,0.0,5.44,60.08,7.87,4.23,5.0,1.19,Shymkent
1606773600,1,230.31,0.0,5.18,60.8,7.63,3.85,4.51,1.19,Shymkent
1606777200,1,230.31,0.0,5.4,60.08,7.75,3.87,4.52,1.2,Shymkent
1606780800,1,233.65,0.0,6.0,60.8,8.46,4.21,4.93,1.27,Shymkent
1606784400,1,247.0,0.0,9.34,58.65,11.8,6.41,7.48,1.47,Shymkent
1606788000,2,283.72,0.01,16.28,50.78,18.12,10.94,12.6,1.79,Shymkent
1606791600,2,320.44,0.03,22.28,43.99,24.08,15.64,17.88,2.03,Shymkent
1606795200,2,327.11,0.59,23.65,42.56,26.94,18.59,21.26,2.06,Shymkent
1606798800,2,323.77,2.85,20.56,45.78,22.41,19.02,21.75,1.6,Shymkent
1606802400,2,317.1,5.31,16.97,50.07,22.17,18.17,20.7,1.36,Shymkent
1606806000,2,290.39,4.3,14.57,62.23,21.22,11.68,13.49,0.87,Shymkent
1606809600,2,317.1,4.58,19.19,55.08,21.94,12.78,14.78,0.9,Shymkent
1606813200,2,343.8,3.74,26.39,44.35,24.32,14.73,16.99,0.98,Shymkent
1606816800,2,370.5,2.52,34.96,35.76,32.42,17.66,20.18,1.27,Shymkent
1606820400,3,420.57,1.98,44.55,27.54,41.49,21.4,24.24,1.69,Shymkent
1606824000,4,480.65,0.64,54.84,17.7,48.16,25.34,28.62,2.19,Shymkent
1606827600,4,507.36,0.43,58.26,13.41,54.84,30.17,33.91,2.41,Shymkent
1606831200,4,494.0,0.38,57.58,13.59,60.56,35.14,39.29,2.47,Shymkent
1606834800,4,467.3,0.22,52.78,16.45,61.04,39.04,43.36,2.5,Shymkent
1606838400,4,420.57,0.1,42.84,22.89,54.84,39.75,44.19,2.53,Shymkent
1606842000,4,373.84,0.03,33.24,30.4,45.78,35.76,40.08,2.53,Shymkent
1606845600,4,333.79,0.01,24.68,37.19,34.33,28.16,31.89,2.31,Shymkent
1606849200,2,293.73,0.0,16.79,40.41,19.55,19.36,22.37,1.76,Shymkent
1606852800,2,263.69,0.0,11.48,43.27,11.68,12.33,14.58,1.35,Shymkent
1606856400,1,243.66,0.0,8.65,45.78,8.46,8.19,9.8,1.08,Shymkent
1606860000,1,233.65,0.0,7.71,47.21,7.45,6.41,7.66,0.91,Shymkent
1606863600,1,230.31,0.0,7.71,49.35,8.46,6.1,7.24,1.05,Shymkent
1606867200,1,236.99,0.0,8.23,53.64,10.73,6.46,7.65,1.19,Shymkent
1606870800,1,257.02,0.0,11.82,56.51,15.74,8.79,10.3,1.38,Shymkent
1606874400,2,303.75,0.01,18.51,52.21,21.7,12.53,14.51,1.58,Shymkent
1606878000,2,340.46,0.02,22.96,49.35,25.99,15.82,18.18,1.73,Shymkent
1606881600,2,347.14,0.41,22.96,51.5,28.61,17.43,20.13,1.73,Shymkent
1606885200,2,347.14,2.4,21.76,56.51,30.99,18.59,21.54,1.58,Shymkent
1606888800,3,363.83,5.53,21.08,60.8,37.19,20.51,23.58,1.66,Shymkent
1606892400,3,387.19,7.26,22.62,65.09,42.44,22.35,25.27,1.49,Shymkent
1606896000,3,403.88,7.26,25.36,67.23,44.82,23.81,26.52,1.19,Shymkent
1606899600,4,427.25,6.71,29.47,66.52,48.64,25.59,28.23,1.03,Shymkent
1606903200,4,433.92,5.2,33.24,62.23,48.64,26.51,29.0,0.94,Shymkent
1606906800,4,447.27,2.93,38.73,51.5,46.73,27.24,29.64,1.11,Shymkent
1606910400,4,460.63,0.39,45.93,36.48,45.78,29.05,31.6,1.41,Shymkent
1606914000,4,473.98,0.07,49.35,27.18,51.5,34.75,37.82,1.52,Shymkent
1606917600,4,494.0,0.14,53.47,20.92,58.65,42.89,46.72,1.52,Shymkent
1606921200,5,500.68,0.22,55.52,16.09,61.99,50.87,55.4,1.44,Shymkent
1606924800,5,500.68,0.25,56.21,14.84,61.04,57.19,62.42,1.3,Shymkent
1606928400,5,487.33,0.23,51.41,14.31,52.45,57.72,63.31,1.2,Shymkent
1606932000,5,447.27,0.16,42.16,13.95,38.62,51.43,56.55,1.09,Shymkent
1606935600,4,397.21,0.11,31.19,14.66,25.03,41.53,45.71,1.03,Shymkent
1606939200,4,353.81,0.07,23.65,15.91,18.36,34.73,38.18,1.01,Shymkent
1606942800,4,330.45,0.07,19.71,16.99,15.74,31.33,34.35,1.0,Shymkent
1606946400,4,320.44,0.07,17.82,16.99,15.02,29.6,32.33,0.99,Shymkent
1606950000,4,310.42,0.07,16.11,17.7,15.26,27.68,30.12,0.99,Shymkent
1606953600,4,300.41,0.09,14.74,19.31,15.74,25.42,27.6,0.99,Shymkent
1606957200,4,313.76,0.21,16.97,19.67,20.03,25.38,27.6,1.09,Shymkent
1606960800,4,367.17,0.7,24.68,13.41,27.66,29.02,31.68,1.38,Shymkent
1606964400,4,433.92,2.54,32.56,4.34,34.33,35.67,38.89,1.73,Shymkent
