Date,Air Quality Index,CO,NO,NO2,O3,SO2,PM2_5,PM10,NH3,City
1606586400,1,283.72,0.0,22.96,55.79,48.64,6.77,7.05,0.11,Temirtau
1606590000,1,297.07,0.01,25.02,51.5,55.31,7.03,7.34,0.08,Temirtau
1606593600,1,287.06,0.01,20.74,45.42,45.3,9.99,10.28,0.17,Temirtau
1606597200,3,270.37,0.02,16.97,35.05,33.85,20.54,20.77,0.72,Temirtau
1606600800,3,257.02,0.02,13.88,36.84,32.42,20.21,20.36,1.12,Temirtau
1606604400,2,247.0,0.01,7.03,46.49,19.07,13.19,13.35,1.17,Temirtau
1606608000,1,240.33,0.01,3.94,55.79,11.21,9.57,9.71,0.98,Temirtau
1606611600,1,233.65,0.01,3.56,61.51,9.66,8.36,8.49,0.67,Temirtau
1606615200,1,236.99,0.01,4.11,60.8,9.89,7.86,8.0,0.57,Temirtau
1606618800,1,236.99,0.01,4.28,60.08,9.78,6.98,7.13,0.44,Temirtau
1606622400,1,233.65,0.04,4.11,59.37,9.89,5.34,5.49,0.22,Temirtau
1606626000,1,230.31,0.26,4.16,57.22,10.25,4.02,4.16,0.08,Temirtau
1606629600,1,226.97,0.63,4.54,57.94,10.85,3.47,3.59,0.04,Temirtau
1606633200,1,226.97,0.89,4.67,60.8,11.21,3.05,3.17,0.04,Temirtau
1606636800,1,223.64,0.95,4.97,62.94,12.76,2.68,2.8,0.07,Temirtau
1606640400,1,220.3,0.72,5.36,62.94,14.54,2.46,2.58,0.1,Temirtau
1606644000,1,220.3,0.33,5.18,62.94,14.19,2.29,2.42,0.12,Temirtau
1606647600,1,220.3,0.06,5.1,62.23,13.23,2.17,2.31,0.14,Temirtau
1606651200,1,223.64,0.01,5.01,62.23,13.23,2.15,2.3,0.15,Temirtau
1606654800,1,223.64,0.01,4.88,62.94,13.83,2.33,2.5,0.16,Temirtau
1606658400,1,223.64,0.01,4.46,64.37,13.59,2.44,2.62,0.17,Temirtau
1606662000,1,220.3,0.0,3.98,66.52,12.88,2.41,2.59,0.19,Temirtau
1606665600,1,220.3,0.0,3.86,67.95,12.88,2.4,2.6,0.21,Temirtau
1606669200,1,220.3,0.0,3.64,67.95,11.92,2.26,2.46,0.22,Temirtau
1606672800,1,220.3,0.0,3.17,67.95,10.25,1.79,1.96,0.22,Temirtau
1606676400,1,220.3,0.0,3.34,66.52,10.01,1.7,1.87,0.21,Temirtau
1606680000,1,220.3,0.0,3.47,64.37,10.13,1.85,2.03,0.21,Temirtau
1606683600,1,223.64,0.0,3.64,62.23,10.13,1.99,2.17,0.21,Temirtau
1606687200,1,223.64,0.01,3.81,59.37,10.25,2.11,2.29,0.21,Temirtau
1606690800,1,226.97,0.01,4.5,56.51,11.68,2.32,2.51,0.22,Temirtau
1606694400,1,233.65,0.01,5.83,52.93,14.54,2.77,2.99,0.24,Temirtau
1606698000,1,243.66,0.03,8.23,49.35,17.41,4.37,4.69,0.3,Temirtau
1606701600,1,260.35,0.06,11.48,44.35,20.98,7.14,7.57,0.4,Temirtau
1606705200,1,277.04,0.09,14.05,40.05,24.08,9.57,10.11,0.49,Temirtau
1606708800,2,287.06,0.32,15.59,37.19,27.18,11.26,11.9,0.53,Temirtau
1606712400,2,283.72,1.51,14.22,38.27,29.09,10.94,11.65,0.5,Temirtau
1606716000,1,270.37,2.65,11.31,41.84,28.37,8.23,8.99,0.42,Temirtau
1606719600,1,260.35,3.44,9.85,44.35,31.95,5.45,6.18,0.33,Temirtau
1606723200,1,260.35,3.58,10.11,44.35,33.38,5.18,5.88,0.29,Temirtau
1606726800,1,257.02,2.77,10.71,43.63,31.95,5.24,5.91,0.25,Temirtau
1606730400,1,260.35,1.51,11.31,42.56,25.99,6.36,7.03,0.27,Temirtau
1606734000,1,267.03,0.37,13.02,39.7,20.74,8.34,9.08,0.34,Temirtau
1606737600,1,270.37,0.09,14.05,37.19,18.6,9.68,10.35,0.4,Temirtau
1606741200,2,267.03,0.09,12.85,37.55,16.93,10.13,10.65,0.4,Temirtau
1606744800,1,257.02,0.08,10.63,39.34,14.66,9.49,9.9,0.38,Temirtau
1606748400,1,250.34,0.05,8.4,41.13,12.16,7.95,8.24,0.34,Temirtau
1606752000,1,240.33,0.04,6.77,42.56,10.01,6.35,6.58,0.32,Temirtau
1606755600,1,240.33,0.04,6.17,42.2,8.82,5.56,5.77,0.31,Temirtau
1606759200,1,236.99,0.03,5.44,42.56,7.15,4.48,4.65,0.28,Temirtau
1606762800,1,236.99,0.03,5.18,41.84,6.97,4.13,4.28,0.27,Temirtau
1606766400,1,236.99,0.03,5.14,41.13,7.33,4.24,4.38,0.25,Temirtau
1606770000,1,236.99,0.03,5.06,40.41,7.75,4.37,4.51,0.24,Temirtau
1606773600,1,236.99,0.04,5.18,39.34,8.7,4.56,4.7,0.21,Temirtau
1606777200,1,236.99,0.04,5.83,37.91,11.09,4.74,4.88,0.17,Temirtau
1606780800,1,240.33,0.06,7.28,35.76,14.19,5.14,5.3,0.11,Temirtau
1606784400,1,247.0,0.12,10.03,32.54,18.36,6.97,7.21,0.08,Temirtau
1606788000,1,257.02,0.2,13.37,28.97,21.22,9.07,9.41,0.08,Temirtau
1606791600,2,263.69,0.26,15.94,26.82,21.46,10.51,10.94,0.1,Temirtau
1606795200,2,270.37,1.09,15.59,27.9,20.03,11.12,11.61,0.12,Temirtau
1606798800,2,267.03,3.69,10.11,35.41,17.17,10.62,11.15,0.1,Temirtau
1606802400,1,263.69,4.3,7.03,41.84,15.5,9.87,10.36,0.06,Temirtau
1606806000,1,260.35,4.14,5.74,47.21,14.66,9.52,9.97,0.04,Temirtau
1606809600,1,257.02,3.41,5.31,51.5,13.83,8.96,9.37,0.02,Temirtau
