Date,Air Quality Index,CO,NO,NO2,O3,SO2,PM2_5,PM10,NH3,City
1606586400,1,233.65,0.02,3.51,35.05,4.53,2.82,3.8,0.07,Uralsk
1606590000,1,233.65,0.01,3.13,34.69,3.79,2.41,3.37,0.07,Uralsk
1606593600,1,236.99,0.01,3.0,34.69,3.58,2.13,2.82,0.07,Uralsk
1606597200,1,240.33,0.01,3.34,35.05,3.76,2.22,2.75,0.06,Uralsk
1606600800,1,240.33,0.01,3.56,36.48,3.99,2.34,2.97,0.05,Uralsk
1606604400,1,236.99,0.01,2.83,39.7,3.82,2.24,3.74,0.06,Uralsk
1606608000,1,233.65,0.01,2.08,44.35,3.93,2.32,6.04,0.08,Uralsk
1606611600,1,230.31,0.01,2.01,48.64,4.29,2.55,8.02,0.1,Uralsk
1606615200,1,230.31,0.01,2.42,51.5,4.95,2.94,9.65,0.13,Uralsk
1606618800,1,236.99,0.01,2.83,51.5,5.48,3.54,12.13,0.15,Uralsk
1606622400,1,240.33,0.01,2.91,50.07,5.6,3.63,11.12,0.15,Uralsk
1606626000,1,236.99,0.01,3.0,52.93,6.02,3.05,7.63,0.14,Uralsk
1606629600,1,233.65,0.02,3.04,56.51,6.32,2.55,5.63,0.14,Uralsk
1606633200,1,230.31,0.06,2.74,57.94,5.9,2.11,4.2,0.14,Uralsk
1606636800,1,230.31,0.1,2.61,57.22,5.66,1.86,3.01,0.15,Uralsk
1606640400,1,230.31,0.12,2.7,55.08,5.84,1.81,2.31,0.16,Uralsk
1606644000,1,233.65,0.13,3.0,51.5,6.5,1.84,2.11,0.17,Uralsk
1606647600,1,236.99,0.14,2.83,48.64,6.14,1.78,1.98,0.18,Uralsk
1606651200,1,236.99,0.07,2.74,47.21,5.54,1.68,1.83,0.16,Uralsk
1606654800,1,236.99,0.01,2.91,47.92,5.54,1.72,1.83,0.15,Uralsk
1606658400,1,236.99,0.01,2.91,47.92,5.66,1.93,2.04,0.16,Uralsk
1606662000,1,240.33,0.01,2.87,47.92,5.54,2.27,2.38,0.16,Uralsk
1606665600,1,240.33,0.01,2.7,49.35,4.95,2.36,2.46,0.17,Uralsk
1606669200,1,240.33,0.01,2.68,52.21,4.65,2.28,2.37,0.19,Uralsk
1606672800,1,236.99,0.0,2.44,56.51,4.23,1.99,2.06,0.21,Uralsk
1606676400,1,233.65,0.0,1.89,60.08,3.4,1.49,1.54,0.21,Uralsk
1606680000,1,236.99,0.0,2.04,60.8,4.05,1.47,1.52,0.22,Uralsk
1606683600,1,236.99,0.0,2.04,58.65,4.29,1.56,1.61,0.22,Uralsk
1606687200,1,236.99,0.01,2.19,55.79,4.65,1.69,1.75,0.23,Uralsk
1606690800,1,236.99,0.01,2.23,52.93,4.77,1.8,1.86,0.24,Uralsk
1606694400,1,236.99,0.01,2.34,50.07,4.89,1.9,1.97,0.25,Uralsk
1606698000,1,240.33,0.01,2.7,47.21,5.54,2.15,2.23,0.26,Uralsk
1606701600,1,243.66,0.02,3.56,45.06,6.86,2.89,3.01,0.28,Uralsk
1606705200,1,247.0,0.03,4.24,44.35,7.75,3.34,3.49,0.27,Uralsk
1606708800,1,247.0,0.03,4.28,45.78,7.99,3.47,3.61,0.23,Uralsk
1606712400,1,250.34,0.03,4.5,48.64,8.82,3.91,4.05,0.18,Uralsk
1606716000,1,250.34,0.36,4.37,52.93,9.78,4.17,4.3,0.14,Uralsk
1606719600,1,247.0,0.79,3.6,60.08,9.42,3.97,4.09,0.1,Uralsk
1606723200,1,243.66,0.95,3.17,66.52,9.3,3.67,3.78,0.07,Uralsk
1606726800,1,240.33,1.02,3.17,69.38,9.78,3.55,3.65,0.05,Uralsk
1606730400,1,243.66,1.01,3.6,70.1,10.73,3.57,3.67,0.05,Uralsk
1606734000,1,240.33,0.66,3.73,72.24,9.66,3.38,3.48,0.07,Uralsk
1606737600,1,240.33,0.21,3.98,75.1,8.23,3.11,3.2,0.11,Uralsk
1606741200,1,243.66,0.01,4.33,77.25,7.63,3.03,3.12,0.14,Uralsk
1606744800,1,247.0,0.0,4.58,77.25,7.39,3.34,3.44,0.15,Uralsk
1606748400,1,250.34,0.0,4.8,75.82,7.27,3.72,3.83,0.14,Uralsk
1606752000,1,253.68,0.0,5.01,74.39,6.91,3.97,4.08,0.12,Uralsk
1606755600,1,257.02,0.0,5.91,72.24,7.57,4.53,4.64,0.09,Uralsk
1606759200,1,260.35,0.0,6.43,72.24,8.23,4.82,4.92,0.06,Uralsk
1606762800,1,260.35,0.0,5.74,74.39,7.57,4.45,4.53,0.04,Uralsk
1606766400,1,257.02,0.0,4.84,77.25,6.97,4.13,4.19,0.04,Uralsk
1606770000,1,253.68,0.0,4.16,77.96,6.62,3.91,3.97,0.04,Uralsk
